complaint_text,category,subcategory,department,urgency
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,High
Pipeline leaking on street at Old Market,Water,Leakage,Water Supply Department,High
Open sewage causing bad smell in Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Brown water supply in Old Market,Water,Quality,Water Quality Department,High
Overflowing dustbins in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Large potholes on Civil Lines road,Road,Potholes,Public Works Department,Medium
Damaged street surface near Old Market,Road,Potholes,Public Works Department,Medium
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
Open sewage causing bad smell in Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Signal faulty at Sanjay Nagar junction,Road,TrafficSignal,Traffic Management Department,High
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,Medium
Severe water leakage in Rajiv Chowk,Water,Leakage,Water Supply Department,High
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,High
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Unsafe sidewalk at Old Market,Road,Footpath,Urban Development Department,Low
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,Medium
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Severe water leakage in Sector 15,Water,Leakage,Water Supply Department,High
Electricity failure since last night in Sanjay Nagar,Electricity,PowerCut,Electricity Distribution Department,High
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Loose electrical cables in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Garbage not collected at Old Market for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Electricity failure since last night in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Large potholes on Sanjay Nagar highway,Road,Potholes,Public Works Department,Medium
Large potholes on Rajiv Chowk road,Road,Potholes,Public Works Department,Low
Broken footpath in Sanjay Nagar,Road,Footpath,Urban Development Department,Medium
Pipeline leaking on highway at Sector 15,Water,Leakage,Water Supply Department,High
Broken footpath in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Street flooded near Sector 15,Water,Waterlogging,Drainage Department,Medium
Public toilet in MG Road not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Dirty tap water with foul smell in Sector 15,Water,Quality,Water Quality Department,Medium
Pipeline leaking on highway at MG Road,Water,Leakage,Water Supply Department,High
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
Footpath tiles missing at Rajiv Chowk,Road,Footpath,Urban Development Department,Medium
Rainwater accumulation at Rajiv Chowk,Water,Waterlogging,Drainage Department,Medium
Traffic signal not working at Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,High
Dangerous hanging wires at Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Damaged road surface near Sanjay Nagar,Road,Potholes,Public Works Department,Low
Trash scattered around Civil Lines,Sanitation,Garbage,Municipal Sanitation Department,Medium
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Brown water supply in Sanjay Nagar,Water,Quality,Water Quality Department,High
Public toilet in MG Road not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Medium
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Blocked manhole in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
No electricity supply since morning in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Signal cracked at MG Road junction,Road,TrafficSignal,Traffic Management Department,Medium
Uneven highway causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Rainwater accumulation at Sanjay Nagar,Water,Waterlogging,Drainage Department,Medium
Contaminated water from taps at Old Market,Water,Quality,Water Quality Department,High
Foul smell from toilet at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Power outage reported in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Dangerous hanging wires at Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Signal cracked at Sector 15 junction,Road,TrafficSignal,Traffic Management Department,High
Foul smell from toilet at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Complete blackout at Sector 15,Electricity,PowerCut,Electricity Distribution Department,Medium
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
No water in public toilet at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Medium
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Multiple potholes in MG Road,Road,Potholes,Public Works Department,Low
Streetlight not working at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Streetlight not working at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
Lamp post faulty in Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
No electricity supply since morning in Old Market,Electricity,PowerCut,Electricity Distribution Department,Medium
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Severe water leakage in Old Market,Water,Leakage,Water Supply Department,High
Traffic signal not working at Rajiv Chowk,Road,TrafficSignal,Traffic Management Department,Medium
Unsafe sidewalk at Civil Lines,Road,Footpath,Urban Development Department,Low
Damaged highway surface near Sector 15,Road,Potholes,Public Works Department,Low
Broken footpath in MG Road,Road,Footpath,Urban Development Department,Low
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Unsafe sidewalk at Civil Lines,Road,Footpath,Urban Development Department,Low
Traffic signal not working at MG Road,Road,TrafficSignal,Traffic Management Department,High
Streetlight not working at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Lamp post broken in Old Market,Electricity,Streetlight,Municipal Lighting Department,Medium
Defective traffic signal in Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,High
Contaminated water from taps at MG Road,Water,Quality,Water Quality Department,High
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Uneven street causing accidents at Old Market,Road,Potholes,Public Works Department,Low
Sewage water overflowing at Old Market,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Blocked manhole in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Dark area due to faulty streetlights at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Broken electric wires lying in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,Medium
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,High
Streetlight not working at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Waste lying unattended in Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Multiple potholes in Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Uneven street causing accidents at Old Market,Road,Potholes,Public Works Department,Medium
Clogged drain near MG Road,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Broken electric wires lying in MG Road,Electricity,Wiring,Electrical Safety Department,High
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Pipeline leaking on highway at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Footpath tiles missing at MG Road,Road,Footpath,Urban Development Department,Medium
Dirty tap water with foul smell in Sanjay Nagar,Water,Quality,Water Quality Department,Medium
Dirty tap water with foul smell in Civil Lines,Water,Quality,Water Quality Department,High
Uneven road causing accidents at Old Market,Road,Potholes,Public Works Department,Medium
Complete blackout at Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Dark area due to faulty streetlights at Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Overflowing dustbins in Sector 15,Sanitation,Garbage,Municipal Sanitation Department,Low
Contaminated water from taps at Old Market,Water,Quality,Water Quality Department,Medium
Pipeline leaking on lane at Sector 15,Water,Leakage,Water Supply Department,High
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Dangerous hanging wires at MG Road,Electricity,Wiring,Electrical Safety Department,High
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
Public toilet in Sector 15 not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Streetlight not working at Sector 15,Electricity,Streetlight,Municipal Lighting Department,Low
Contaminated water from taps at Sector 15,Water,Quality,Water Quality Department,High
Pipeline leaking on street at Sector 15,Water,Leakage,Water Supply Department,High
Traffic signal not working at Sanjay Nagar,Road,TrafficSignal,Traffic Management Department,Medium
Underground pipe burst at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Open sewage causing bad smell in Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Waterlogging after heavy rain in MG Road,Water,Waterlogging,Drainage Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
No proper pavement in Rajiv Chowk,Road,Footpath,Urban Development Department,Low
Broken electric wires lying in Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,Medium
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Medium
Lamp post damaged in MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Garbage not collected at MG Road for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Damaged street surface near Sanjay Nagar,Road,Potholes,Public Works Department,Low
Trash scattered around MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Signal faulty at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
No water in public toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,Medium
Damaged street surface near Sector 15,Road,Potholes,Public Works Department,Medium
Large potholes on Sector 15 street,Road,Potholes,Public Works Department,Low
Damaged lane surface near Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,High
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Blocked manhole in Old Market,Sanitation,Sewage,Drainage and Sewerage Department,High
Severe water leakage in Rajiv Chowk,Water,Leakage,Water Supply Department,Medium
Signal broken at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Multiple potholes in MG Road,Road,Potholes,Public Works Department,Medium
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Unsafe sidewalk at Sector 15,Road,Footpath,Urban Development Department,Low
Pipeline leaking on lane at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Brown water supply in MG Road,Water,Quality,Water Quality Department,High
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,High
Dangerous hanging wires at Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Garbage not collected at Sanjay Nagar for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Medium
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Low
Severe water leakage in Old Market,Water,Leakage,Water Supply Department,Medium
Garbage not collected at Sector 15 for 3 days,Sanitation,Garbage,Municipal Sanitation Department,Low
Blocked manhole in Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Broken public restroom at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Pipeline leaking on road at Civil Lines,Water,Leakage,Water Supply Department,High
Streetlight not working at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Uneven lane causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Medium
Broken footpath in Sector 15,Road,Footpath,Urban Development Department,Low
Lamp post damaged in Civil Lines,Electricity,Streetlight,Municipal Lighting Department,Low
Broken public restroom at Civil Lines,Sanitation,PublicToilet,Public Health Department,Low
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,High
Dangerous hanging wires at Sanjay Nagar,Electricity,Wiring,Electrical Safety Department,High
Complete blackout at Civil Lines,Electricity,PowerCut,Electricity Distribution Department,High
Broken pipeline flooding Old Market,Water,Leakage,Water Supply Department,Medium
No electricity supply since morning in MG Road,Electricity,PowerCut,Electricity Distribution Department,Medium
Uneven street causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Red light not functioning in Sector 15,Road,TrafficSignal,Traffic Management Department,High
Uneven street causing accidents at MG Road,Road,Potholes,Public Works Department,Medium
Blocked manhole in Sector 15,Sanitation,Sewage,Drainage and Sewerage Department,High
Underground pipe burst at MG Road,Water,Leakage,Water Supply Department,High
Large potholes on Rajiv Chowk highway,Road,Potholes,Public Works Department,Low
Footpath tiles missing at Sanjay Nagar,Road,Footpath,Urban Development Department,Medium
Open sewage causing bad smell in Sanjay Nagar,Sanitation,Sewage,Drainage and Sewerage Department,High
Water not safe for drinking in MG Road,Water,Quality,Water Quality Department,Medium
Signal broken at MG Road junction,Road,TrafficSignal,Traffic Management Department,High
Drain blocked and water pooling at Civil Lines,Water,Waterlogging,Drainage Department,Medium
Contaminated water from taps at Rajiv Chowk,Water,Quality,Water Quality Department,High
Broken public restroom at Rajiv Chowk,Sanitation,PublicToilet,Public Health Department,Medium
Unsafe sidewalk at Civil Lines,Road,Footpath,Urban Development Department,Low
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,Medium
Large potholes on MG Road road,Road,Potholes,Public Works Department,Medium
Exposed live wire near MG Road,Electricity,Wiring,Electrical Safety Department,High
Broken pipeline flooding Sector 15,Water,Leakage,Water Supply Department,High
Dangerous hanging wires at MG Road,Electricity,Wiring,Electrical Safety Department,High
Pipeline leaking on road at Civil Lines,Water,Leakage,Water Supply Department,Medium
Lamp post broken in Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Medium
Rainwater accumulation at MG Road,Water,Waterlogging,Drainage Department,Low
Broken pipeline flooding Civil Lines,Water,Leakage,Water Supply Department,Medium
Complete blackout at Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Uneven street causing accidents at Sanjay Nagar,Road,Potholes,Public Works Department,Medium
No proper pavement in MG Road,Road,Footpath,Urban Development Department,Medium
Broken public restroom at Old Market,Sanitation,PublicToilet,Public Health Department,Low
Street flooded near Old Market,Water,Waterlogging,Drainage Department,Medium
Clogged drain near Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,High
Brown water supply in Sanjay Nagar,Water,Quality,Water Quality Department,High
Broken pipeline flooding Sanjay Nagar,Water,Leakage,Water Supply Department,High
Broken pipeline flooding MG Road,Water,Leakage,Water Supply Department,High
Pipeline leaking on street at Sanjay Nagar,Water,Leakage,Water Supply Department,Medium
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Signal damaged at Old Market junction,Road,TrafficSignal,Traffic Management Department,Medium
Broken public restroom at Sector 15,Sanitation,PublicToilet,Public Health Department,Low
Broken public restroom at Sanjay Nagar,Sanitation,PublicToilet,Public Health Department,Low
Broken electric wires lying in Civil Lines,Electricity,Wiring,Electrical Safety Department,High
Pipeline leaking on street at Civil Lines,Water,Leakage,Water Supply Department,High
Broken electric wires lying in Old Market,Electricity,Wiring,Electrical Safety Department,High
Pipeline leaking on highway at Sanjay Nagar,Water,Leakage,Water Supply Department,High
Dangerous hanging wires at Rajiv Chowk,Electricity,Wiring,Electrical Safety Department,High
Dark area due to faulty streetlights at MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Multiple potholes in Sanjay Nagar,Road,Potholes,Public Works Department,Low
Pipeline leaking on street at Civil Lines,Water,Leakage,Water Supply Department,High
Signal cracked at Rajiv Chowk junction,Road,TrafficSignal,Traffic Management Department,High
Flickering light pole at MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Clogged drain near Rajiv Chowk,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Foul smell from toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Public toilet in Old Market not cleaned,Sanitation,PublicToilet,Public Health Department,Low
Clogged drain near Sanjay Nagar,Sanitation,Sewage,Drainage and Sewerage Department,Medium
Lamp post broken in MG Road,Electricity,Streetlight,Municipal Lighting Department,Medium
Dirty tap water with foul smell in MG Road,Water,Quality,Water Quality Department,High
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Multiple potholes in Sector 15,Road,Potholes,Public Works Department,Medium
No electricity supply since morning in Rajiv Chowk,Electricity,PowerCut,Electricity Distribution Department,High
Waterlogging after heavy rain in Sector 15,Water,Waterlogging,Drainage Department,Medium
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Open sewage causing bad smell in MG Road,Sanitation,Sewage,Drainage and Sewerage Department,High
Lamp post cracked in MG Road,Electricity,Streetlight,Municipal Lighting Department,Low
Severe water leakage in MG Road,Water,Leakage,Water Supply Department,High
Dirty tap water with foul smell in Rajiv Chowk,Water,Quality,Water Quality Department,High
Power outage reported in MG Road,Electricity,PowerCut,Electricity Distribution Department,High
No water in public toilet at MG Road,Sanitation,PublicToilet,Public Health Department,Low
Overflowing dustbins in Old Market,Sanitation,Garbage,Municipal Sanitation Department,Medium
Pipeline leaking on road at Rajiv Chowk,Water,Leakage,Water Supply Department,High
Signal damaged at Old Market junction,Road,TrafficSignal,Traffic Management Department,High
Uneven highway causing accidents at Rajiv Chowk,Road,Potholes,Public Works Department,Medium
Dangerous hanging wires at Old Market,Electricity,Wiring,Electrical Safety Department,High
Complete blackout at MG Road,Electricity,PowerCut,Electricity Distribution Department,High
Red light not functioning in Sector 15,Road,TrafficSignal,Traffic Management Department,High
Broken electric wires lying in Sector 15,Electricity,Wiring,Electrical Safety Department,High
Uneven highway causing accidents at MG Road,Road,Potholes,Public Works Department,Low
Waste lying unattended in MG Road,Sanitation,Garbage,Municipal Sanitation Department,Low
Multiple potholes in Old Market,Road,Potholes,Public Works Department,Medium
Loose electrical cables in MG Road,Electricity,Wiring,Electrical Safety Department,High
Flickering light pole at Rajiv Chowk,Electricity,Streetlight,Municipal Lighting Department,Low
Footpath tiles missing at Old Market,Road,Footpath,Urban Development Department,Low
